"Date","Price","Open","High","Low","Change %"
"May 23, 2018","2.825","2.895","2.902","2.820","-2.52%"
"May 22, 2018","2.898","2.895","2.917","2.888","0.10%"
"May 21, 2018","2.895","2.912","2.917","2.890","-0.53%"
"May 20, 2018","2.910","2.888","2.910","2.888","0.78%"
"May 18, 2018","2.888","2.941","2.948","2.886","-1.74%"
"May 17, 2018","2.939","2.938","2.957","2.920","-0.17%"
"May 16, 2018","2.944","2.915","2.944","2.901","0.93%"
"May 15, 2018","2.917","2.864","2.936","2.859","1.92%"
"May 14, 2018","2.862","2.845","2.864","2.828","0.66%"
"May 13, 2018","2.843","2.845","2.845","2.842","0.19%"
"May 11, 2018","2.838","2.835","2.843","2.821","0.28%"
"May 10, 2018","2.830","2.840","2.840","2.792","-0.39%"
"May 09, 2018","2.841","2.816","2.843","2.814","1.07%"
"May 08, 2018","2.811","2.790","2.823","2.784","0.79%"
"May 07, 2018","2.789","2.789","2.799","2.777","0.00%"
"May 06, 2018","2.789","2.787","2.792","2.787","0.06%"
"May 04, 2018","2.787","2.785","2.796","2.745","0.18%"
"May 03, 2018","2.782","2.797","2.802","2.762","-0.78%"
"May 02, 2018","2.804","2.814","2.834","2.797","-0.36%"
"May 01, 2018","2.814","2.802","2.821","2.797","0.46%"
"Apr 30, 2018","2.801","2.848","2.848","2.787","-0.10%"
"Apr 29, 2018","2.804","2.804","2.804","2.804","0.00%"
"Apr 27, 2018","2.804","2.817","2.826","2.796","-0.36%"
"Apr 26, 2018","2.814","2.838","2.845","2.806","-0.99%"
"Apr 25, 2018","2.842","2.823","2.854","2.817","0.50%"
"Apr 24, 2018","2.828","2.824","2.843","2.807","0.21%"
"Apr 23, 2018","2.822","2.807","2.831","2.803","0.48%"
"Apr 22, 2018","2.809","2.802","2.810","2.802","0.23%"
"Apr 20, 2018","2.802","2.760","2.802","2.748","1.63%"
"Apr 19, 2018","2.757","2.729","2.772","2.722","0.88%"
"Apr 18, 2018","2.733","2.686","2.736","2.685","1.60%"
"Apr 17, 2018","2.690","2.685","2.702","2.676","0.34%"
"Apr 16, 2018","2.681","2.686","2.708","2.676","-0.26%"
"Apr 15, 2018","2.688","2.690","2.690","2.688","0.63%"
"Apr 13, 2018","2.671","2.659","2.691","2.650","-0.30%"
"Apr 12, 2018","2.679","2.615","2.679","2.606","2.53%"
"Apr 11, 2018","2.613","2.621","2.626","2.582","-0.46%"
"Apr 10, 2018","2.625","2.599","2.633","2.596","1.04%"
"Apr 09, 2018","2.598","2.598","2.623","2.588","-0.12%"
"Apr 08, 2018","2.601","2.599","2.601","2.599","0.54%"
"Apr 06, 2018","2.587","2.623","2.640","2.581","-2.01%"
"Apr 05, 2018","2.640","2.623","2.645","2.623","0.53%"
"Apr 04, 2018","2.626","2.592","2.626","2.567","1.04%"
"Apr 03, 2018","2.599","2.555","2.609","2.552","1.92%"
"Apr 02, 2018","2.550","2.580","2.596","2.535","-1.25%"
"Apr 01, 2018","2.582","2.562","2.599","2.562","0.79%"
"Mar 29, 2018","2.562","2.597","2.602","2.560","-1.31%"
"Mar 28, 2018","2.596","2.582","2.607","2.540","1.01%"
"Mar 27, 2018","2.570","2.645","2.650","2.564","-2.65%"
"Mar 26, 2018","2.640","2.608","2.647","2.601","1.30%"
"Mar 25, 2018","2.606","2.603","2.608","2.603","0.12%"
"Mar 23, 2018","2.603","2.601","2.642","2.586","-0.69%"
"Mar 22, 2018","2.621","2.676","2.681","2.599","-1.98%"
"Mar 21, 2018","2.674","2.698","2.735","2.669","-0.96%"
"Mar 20, 2018","2.700","2.652","2.701","2.649","1.69%"
"Mar 19, 2018","2.655","2.654","2.676","2.625","0.05%"
"Mar 18, 2018","2.654","2.644","2.657","2.644","0.40%"
"Mar 16, 2018","2.643","2.632","2.650","2.611","0.76%"
"Mar 15, 2018","2.623","2.613","2.632","2.589","0.38%"
"Mar 14, 2018","2.613","2.622","2.645","2.591","-0.34%"
"Mar 13, 2018","2.622","2.642","2.648","2.601","-0.49%"
"Mar 12, 2018","2.635","2.661","2.669","2.632","-0.95%"
"Mar 11, 2018","2.660","2.652","2.666","2.652","0.32%"
"Mar 09, 2018","2.652","2.644","2.677","2.633","0.91%"
"Mar 08, 2018","2.628","2.648","2.655","2.618","-0.76%"
"Mar 07, 2018","2.648","2.611","2.654","2.607","-0.23%"
"Mar 06, 2018","2.654","2.640","2.669","2.625","0.34%"
"Mar 05, 2018","2.645","2.610","2.657","2.569","1.35%"
"Mar 04, 2018","2.610","2.608","2.611","2.605","-0.84%"
"Mar 02, 2018","2.632","2.588","2.637","2.563","1.82%"
"Mar 01, 2018","2.585","2.645","2.657","2.563","-2.27%"
"Feb 28, 2018","2.645","2.667","2.687","2.642","-0.75%"
"Feb 27, 2018","2.665","2.610","2.682","2.603","2.03%"
"Feb 26, 2018","2.612","2.625","2.625","2.585","-0.50%"
"Feb 25, 2018","2.625","2.620","2.628","2.620","0.19%"
"Feb 23, 2018","2.620","2.660","2.672","2.605","-1.47%"
"Feb 22, 2018","2.659","2.689","2.691","2.647","-1.01%"
"Feb 21, 2018","2.686","2.651","2.693","2.635","1.51%"
"Feb 20, 2018","2.646","2.653","2.689","2.639","-0.26%"
"Feb 19, 2018","2.653","2.627","2.653","2.627","0.97%"
"Feb 18, 2018","2.627","2.627","2.627","2.627","0.00%"
"Feb 16, 2018","2.627","2.652","2.660","2.609","-0.76%"
"Feb 15, 2018","2.647","2.644","2.687","2.622","0.19%"
"Feb 14, 2018","2.642","2.549","2.649","2.522","3.73%"
"Feb 13, 2018","2.547","2.557","2.562","2.527","-0.39%"
"Feb 12, 2018","2.557","2.581","2.589","2.540","0.54%"
"Feb 11, 2018","2.543","2.543","2.543","2.543","0.00%"
"Feb 09, 2018","2.543","2.548","2.579","2.461","-0.08%"
"Feb 08, 2018","2.545","2.533","2.612","2.530","-0.47%"
"Feb 07, 2018","2.557","2.545","2.582","2.494","0.55%"
"Feb 06, 2018","2.543","2.452","2.545","2.343","4.05%"
"Feb 05, 2018","2.444","2.590","2.610","2.428","-5.64%"
"Feb 04, 2018","2.590","2.588","2.590","2.587","0.08%"
"Feb 02, 2018","2.588","2.575","2.621","2.560","0.86%"
"Feb 01, 2018","2.566","2.532","2.575","2.522","1.74%"
"Jan 31, 2018","2.522","2.507","2.553","2.482","0.52%"
"Jan 30, 2018","2.509","2.500","2.527","2.475","0.56%"
"Jan 29, 2018","2.495","2.470","2.532","2.467","1.00%"
"Jan 28, 2018","2.470","2.472","2.474","2.470","0.00%"
"Jan 26, 2018","2.470","2.425","2.482","2.422","1.86%"
"Jan 25, 2018","2.425","2.437","2.470","2.413","-0.53%"
"Jan 24, 2018","2.438","2.410","2.444","2.409","0.95%"
"Jan 23, 2018","2.415","2.454","2.458","2.412","-1.55%"
"Jan 22, 2018","2.453","2.458","2.464","2.432","-0.19%"
"Jan 21, 2018","2.458","2.453","2.459","2.453","0.19%"
"Jan 19, 2018","2.453","2.416","2.454","2.408","1.45%"
"Jan 18, 2018","2.418","2.408","2.423","2.401","0.62%"
"Jan 17, 2018","2.403","2.348","2.406","2.347","2.12%"
"Jan 16, 2018","2.353","2.353","2.367","2.326","0.06%"
"Jan 15, 2018","2.352","2.346","2.352","2.346","0.24%"
"Jan 12, 2018","2.346","2.333","2.382","2.328","0.95%"
"Jan 11, 2018","2.324","2.329","2.343","2.312","-0.30%"
"Jan 10, 2018","2.331","2.329","2.359","2.321","0.09%"
"Jan 09, 2018","2.329","2.290","2.334","2.282","1.84%"
"Jan 08, 2018","2.287","2.295","2.297","2.273","0.00%"
"Jan 07, 2018","2.287","2.287","2.287","2.287","0.08%"
"Jan 05, 2018","2.285","2.272","2.290","2.243","0.75%"
"Jan 04, 2018","2.268","2.257","2.292","2.255","1.11%"
"Jan 03, 2018","2.243","2.248","2.257","2.228","-0.22%"
"Jan 02, 2018","2.248","2.231","2.265","2.215","1.89%"
"Jan 01, 2018","2.206","2.206","2.206","2.206","0.00%"
"Dec 29, 2017","2.206","2.236","2.238","2.206","-1.43%"
"Dec 28, 2017","2.238","2.223","2.243","2.221","1.96%"
"Dec 27, 2017","2.195","2.246","2.248","2.193","-2.10%"
"Dec 26, 2017","2.242","2.254","2.263","2.237","-0.46%"
"Dec 25, 2017","2.252","2.254","2.283","2.249","0.06%"
"Dec 22, 2017","2.251","2.249","2.256","2.242","0.36%"
"Dec 21, 2017","2.243","2.235","2.252","2.223","0.27%"
"Dec 20, 2017","2.237","2.216","2.245","2.204","0.77%"
"Dec 19, 2017","2.220","2.174","2.230","2.169","2.45%"
"Dec 18, 2017","2.167","2.171","2.179","2.151","-0.09%"
"Dec 17, 2017","2.169","2.164","2.169","2.164","0.78%"
"Dec 16, 2017","2.152","2.152","2.152","2.152","0.00%"
"Dec 15, 2017","2.152","2.138","2.177","2.138","0.65%"
"Dec 14, 2017","2.138","2.112","2.164","2.112","1.42%"
"Dec 13, 2017","2.108","2.168","2.199","2.107","-2.95%"
"Dec 12, 2017","2.172","2.157","2.185","2.148","0.56%"
"Dec 11, 2017","2.160","2.145","2.160","2.118","0.63%"
"Dec 10, 2017","2.147","2.141","2.148","2.141","0.21%"
"Dec 08, 2017","2.142","2.146","2.162","2.120","0.28%"
"Dec 07, 2017","2.136","2.126","2.146","2.111","0.47%"
"Dec 06, 2017","2.126","2.148","2.153","2.103","-0.84%"
"Dec 05, 2017","2.144","2.146","2.173","2.139","0.05%"
"Dec 04, 2017","2.143","2.168","2.169","2.136","-1.14%"
"Dec 03, 2017","2.168","2.161","2.168","2.159","2.30%"
"Dec 01, 2017","2.119","2.142","2.171","2.068","-1.12%"
"Nov 30, 2017","2.143","2.104","2.156","2.101","1.76%"
"Nov 29, 2017","2.106","2.064","2.118","2.055","2.28%"
"Nov 28, 2017","2.059","2.061","2.073","2.038","0.44%"
"Nov 27, 2017","2.050","2.070","2.085","2.045","-1.06%"
"Nov 26, 2017","2.072","2.064","2.074","2.064","0.38%"
"Nov 24, 2017","2.064","2.057","2.075","2.053","0.43%"
"Nov 23, 2017","2.055","2.058","2.058","2.055","0.59%"
"Nov 22, 2017","2.043","2.099","2.111","2.042","-2.71%"
"Nov 21, 2017","2.100","2.090","2.115","2.082","0.29%"
"Nov 20, 2017","2.094","2.053","2.095","2.038","2.06%"
"Nov 19, 2017","2.052","2.047","2.052","2.047","-0.16%"
"Nov 17, 2017","2.055","2.070","2.072","2.045","-0.82%"
"Nov 16, 2017","2.072","2.033","2.073","2.032","1.82%"
"Nov 15, 2017","2.035","2.060","2.062","2.018","-1.31%"
"Nov 14, 2017","2.062","2.075","2.092","2.056","-0.67%"
"Nov 13, 2017","2.076","2.056","2.078","2.036","1.03%"
"Nov 12, 2017","2.055","2.055","2.056","2.053","0.00%"
"Nov 10, 2017","2.055","2.012","2.058","2.008","2.14%"
"Nov 09, 2017","2.012","2.012","2.026","1.993","0.10%"
"Nov 08, 2017","2.010","1.980","2.013","1.980","1.11%"
"Nov 07, 2017","1.988","1.988","2.007","1.977","0.15%"
"Nov 06, 2017","1.985","2.000","2.010","1.978","-0.83%"
"Nov 05, 2017","2.002","1.993","2.002","1.993","0.43%"
"Nov 03, 2017","1.993","2.002","2.059","1.975","-0.45%"
"Nov 02, 2017","2.002","2.016","2.023","1.985","-0.79%"
"Nov 01, 2017","2.018","2.018","2.038","1.998","0.15%"
"Oct 31, 2017","2.015","1.990","2.018","1.987","1.00%"
"Oct 30, 2017","1.995","2.022","2.031","1.993","-1.39%"
"Oct 29, 2017","2.023","2.033","2.033","2.022","-0.49%"
"Oct 27, 2017","2.033","2.074","2.093","2.028","-2.21%"
"Oct 26, 2017","2.079","2.048","2.081","2.028","1.46%"
"Oct 25, 2017","2.049","2.040","2.089","2.036","0.24%"
"Oct 24, 2017","2.044","2.003","2.051","1.998","2.10%"
"Oct 23, 2017","2.002","2.027","2.034","1.998","-1.31%"
"Oct 22, 2017","2.029","2.019","2.030","2.019","0.48%"
"Oct 20, 2017","2.019","1.955","2.027","1.952","3.27%"
"Oct 19, 2017","1.955","1.992","1.992","1.946","-1.91%"
"Oct 18, 2017","1.993","1.960","1.997","1.956","1.63%"
"Oct 17, 2017","1.961","1.948","1.976","1.943","0.51%"
"Oct 16, 2017","1.951","1.920","1.958","1.910","1.72%"
"Oct 15, 2017","1.918","1.918","1.920","1.918","0.95%"
"Oct 13, 2017","1.900","1.941","1.960","1.896","-2.11%"
"Oct 12, 2017","1.941","1.956","1.956","1.930","-0.87%"
"Oct 11, 2017","1.958","1.959","1.968","1.938","0.26%"
"Oct 10, 2017","1.953","1.959","1.969","1.926","-0.41%"
"Oct 09, 2017","1.961","1.958","1.963","1.958","0.16%"
"Oct 06, 2017","1.958","1.948","2.003","1.944","0.62%"
"Oct 05, 2017","1.946","1.923","1.954","1.913","1.57%"
"Oct 04, 2017","1.916","1.921","1.939","1.893","-0.10%"
"Oct 03, 2017","1.918","1.938","1.953","1.915","-0.83%"
"Oct 02, 2017","1.934","1.944","1.971","1.919","-0.44%"
"Oct 01, 2017","1.943","1.943","1.944","1.941","0.19%"
"Sep 29, 2017","1.939","1.900","1.939","1.887","2.43%"
"Sep 28, 2017","1.893","1.910","1.954","1.893","-0.73%"
"Sep 27, 2017","1.907","1.863","1.922","1.860","2.64%"
"Sep 26, 2017","1.858","1.838","1.868","1.830","1.09%"
"Sep 25, 2017","1.838","1.877","1.877","1.828","-1.96%"
"Sep 24, 2017","1.875","1.870","1.878","1.870","0.53%"
"Sep 22, 2017","1.865","1.886","1.886","1.853","-1.22%"
"Sep 21, 2017","1.888","1.886","1.893","1.858","0.48%"
"Sep 20, 2017","1.879","1.831","1.893","1.811","2.34%"
