"Date","Price","Open","High","Low","Vol.","Change %"
"May 23, 2018","5,872.0","5,806.7","5,872.0","5,805.5","-","0.61%"
"May 22, 2018","5,836.5","5,877.6","5,886.4","5,833.9","-","-0.40%"
"May 21, 2018","5,859.9","5,861.1","5,878.6","5,841.3","-","0.53%"
"May 18, 2018","5,828.7","5,837.7","5,842.5","5,818.2","-","-0.20%"
"May 17, 2018","5,840.5","5,837.6","5,874.3","5,818.5","-","-0.08%"
"May 16, 2018","5,845.0","5,808.6","5,859.8","5,808.6","-","0.78%"
"May 15, 2018","5,799.9","5,796.6","5,802.3","5,765.7","-","-0.64%"
"May 14, 2018","5,837.1","5,849.6","5,864.3","5,830.3","-","-0.02%"
"May 11, 2018","5,838.2","5,851.5","5,855.5","5,823.6","-","-0.14%"
"May 10, 2018","5,846.5","5,819.6","5,856.6","5,816.4","-","0.48%"
"May 09, 2018","5,818.6","5,798.7","5,822.7","5,774.9","-","0.57%"
"May 08, 2018","5,785.9","5,792.0","5,799.1","5,756.9","-","-0.40%"
"May 07, 2018","5,809.0","5,793.7","5,822.7","5,784.2","-","0.75%"
"May 04, 2018","5,765.7","5,660.2","5,782.9","5,654.1","-","1.49%"
"May 03, 2018","5,681.0","5,667.4","5,693.8","5,609.8","-","-0.17%"
"May 02, 2018","5,690.7","5,734.8","5,744.4","5,687.6","-","-0.89%"
"May 01, 2018","5,741.8","5,697.6","5,745.1","5,673.2","-","0.50%"
"Apr 30, 2018","5,713.3","5,753.6","5,782.3","5,710.9","-","-0.43%"
"Apr 27, 2018","5,737.9","5,811.0","5,813.4","5,726.6","-","0.16%"
"Apr 26, 2018","5,728.6","5,692.0","5,747.2","5,675.9","-","1.41%"
"Apr 25, 2018","5,648.9","5,640.1","5,670.5","5,583.3","-","0.01%"
"Apr 24, 2018","5,648.6","5,788.5","5,790.5","5,615.2","-","-1.83%"
"Apr 23, 2018","5,754.1","5,790.5","5,807.1","5,725.3","-","-0.22%"
