"Date","Price","Open","High","Low","Vol.","Change %"
"May 23, 2018","355.2","353.1","355.2","351.4","-","-0.14%"
"May 22, 2018","355.7","357.3","357.5","355.3","-","-0.13%"
"May 21, 2018","356.1","355.5","357.1","354.1","-","0.94%"
"May 18, 2018","352.8","353.3","355.1","352.3","-","-0.37%"
"May 17, 2018","354.1","353.2","357.5","351.9","-","-2.05%"
"May 16, 2018","361.5","362.4","362.9","360.6","-","-0.28%"
"May 15, 2018","362.5","361.8","362.9","359.5","-","-0.55%"
"May 14, 2018","364.5","366.9","367.8","364.5","-","-0.33%"
"May 11, 2018","365.7","367.9","368.3","365.3","-","-0.62%"
"May 10, 2018","368.0","365.5","368.6","364.2","-","0.68%"
"May 09, 2018","365.5","364.5","365.9","361.0","-","0.47%"
"May 08, 2018","363.8","365.1","365.6","362.2","-","-0.22%"
"May 07, 2018","364.6","363.6","366.4","362.8","-","0.69%"
"May 04, 2018","362.1","354.6","363.6","353.6","-","1.57%"
"May 03, 2018","356.5","355.0","358.2","350.1","-","0.34%"
"May 02, 2018","355.3","362.4","363.0","355.1","-","-1.44%"
"May 01, 2018","360.5","357.6","360.7","355.0","-","-0.03%"
"Apr 30, 2018","360.6","365.5","366.8","359.8","-","-1.50%"
"Apr 27, 2018","366.1","367.0","369.5","364.4","-","0.44%"
"Apr 26, 2018","364.5","363.5","365.8","360.8","-","0.75%"
"Apr 25, 2018","361.8","361.7","362.1","355.9","-","0.06%"
"Apr 24, 2018","361.6","365.7","368.4","358.9","-","-0.63%"
"Apr 23, 2018","363.9","365.1","366.4","361.9","-","-0.19%"
"Apr 20, 2018","364.6","367.2","367.9","362.3","-","-0.60%"
"Apr 19, 2018","366.8","366.4","368.8","366.2","-","-0.11%"
"Apr 18, 2018","367.2","367.4","369.0","365.1","-","0.11%"
"Apr 17, 2018","366.8","362.5","367.5","361.4","-","2.17%"
"Apr 16, 2018","359.0","359.4","360.8","356.7","-","0.39%"
"Apr 13, 2018","357.6","362.0","362.6","355.7","-","-0.69%"
"Apr 12, 2018","360.1","357.9","362.1","357.3","-","1.41%"
"Apr 11, 2018","355.1","353.7","358.1","353.4","-","0.00%"
"Apr 10, 2018","355.1","351.8","357.0","348.6","-","3.14%"
"Apr 09, 2018","344.3","344.8","350.2","344.0","-","0.47%"
"Apr 06, 2018","342.7","346.3","349.3","340.7","-","-1.95%"
"Apr 05, 2018","349.5","348.1","351.0","347.5","-","1.04%"
"Apr 04, 2018","345.9","338.4","347.7","338.3","-","0.12%"
"Apr 03, 2018","345.5","345.7","346.9","341.7","-","0.70%"
