"Date","Price","Open","High","Low","Vol.","Change %"
"May 23, 2018","8,358.8","8,341.6","8,360.6","8,329.2","-","-0.16%"
"May 22, 2018","8,371.8","8,364.7","8,408.2","8,361.1","-","0.16%"
"May 21, 2018","8,358.6","8,303.7","8,358.6","8,301.3","-","0.97%"
"May 18, 2018","8,278.0","8,290.9","8,297.3","8,264.8","-","-0.22%"
"May 17, 2018","8,296.6","8,269.9","8,320.8","8,253.2","-","0.35%"
"May 16, 2018","8,267.3","8,244.7","8,299.2","8,239.4","-","0.31%"
"May 15, 2018","8,241.5","8,214.5","8,282.4","8,212.2","-","0.04%"
"May 14, 2018","8,237.9","8,311.5","8,330.6","8,227.8","-","-0.74%"
"May 11, 2018","8,298.9","8,298.0","8,338.1","8,284.2","-","-0.02%"
"May 10, 2018","8,300.8","8,249.5","8,315.6","8,229.2","-","0.86%"
"May 09, 2018","8,229.8","8,255.4","8,255.4","8,191.7","-","0.02%"
"May 08, 2018","8,228.5","8,181.0","8,254.2","8,177.4","-","0.56%"
"May 07, 2018","8,182.6","8,136.4","8,224.2","8,103.0","-","0.54%"
"May 04, 2018","8,138.3","8,008.2","8,171.6","7,993.9","-","1.28%"
"May 03, 2018","8,035.6","8,052.8","8,063.1","7,924.7","-","-0.67%"
"May 02, 2018","8,089.4","8,252.7","8,252.7","8,082.7","-","-1.86%"
"May 01, 2018","8,242.5","8,222.2","8,242.5","8,170.0","-","0.09%"
"Apr 30, 2018","8,235.1","8,351.9","8,359.7","8,235.1","-","-1.29%"
"Apr 27, 2018","8,342.3","8,351.5","8,351.5","8,295.9","-","-0.04%"
"Apr 26, 2018","8,345.5","8,351.2","8,375.5","8,288.0","-","-0.20%"
"Apr 25, 2018","8,362.2","8,364.2","8,390.6","8,311.5","-","-0.18%"
"Apr 24, 2018","8,377.0","8,432.4","8,464.7","8,342.0","-","-0.50%"
"Apr 23, 2018","8,419.5","8,412.2","8,431.1","8,385.7","-","0.36%"
"Apr 20, 2018","8,389.3","8,397.6","8,418.4","8,362.8","-","-0.13%"
"Apr 19, 2018","8,400.1","8,345.3","8,440.9","8,344.9","-","0.30%"
