"Date","Price","Open","High","Low","Vol.","Change %"
"May 23, 2018","5,309.2","5,281.6","5,310.2","5,248.7","-","0.12%"
"May 22, 2018","5,302.8","5,390.1","5,410.7","5,298.0","-","-1.37%"
"May 21, 2018","5,376.4","5,335.8","5,399.0","5,335.0","-","1.50%"
"May 18, 2018","5,297.0","5,261.2","5,305.5","5,258.4","-","0.41%"
"May 17, 2018","5,275.6","5,254.7","5,315.4","5,254.4","-","0.27%"
"May 16, 2018","5,261.5","5,207.2","5,296.7","5,202.6","-","1.08%"
"May 15, 2018","5,205.1","5,189.4","5,216.9","5,177.4","-","-0.34%"
"May 14, 2018","5,222.9","5,254.3","5,271.6","5,207.6","-","-0.32%"
"May 11, 2018","5,239.8","5,191.9","5,266.8","5,191.7","-","1.07%"
"May 10, 2018","5,184.4","5,168.3","5,194.6","5,155.6","-","0.80%"
"May 09, 2018","5,143.2","5,095.4","5,160.8","5,094.1","-","0.69%"
"May 08, 2018","5,107.9","5,038.6","5,140.1","5,038.1","-","1.58%"
"May 07, 2018","5,028.5","5,025.9","5,038.9","5,008.3","-","0.41%"
"May 04, 2018","5,007.8","4,929.2","5,040.8","4,926.4","-","0.96%"
"May 03, 2018","4,960.1","4,959.2","4,992.8","4,896.3","-","-0.23%"
"May 02, 2018","4,971.7","4,986.9","5,028.9","4,964.0","-","-1.05%"
"May 01, 2018","5,024.4","5,011.0","5,033.6","4,973.3","-","0.26%"
"Apr 30, 2018","5,011.5","5,076.9","5,102.4","5,011.2","-","-0.94%"
"Apr 27, 2018","5,058.9","5,004.3","5,063.2","4,994.4","-","1.27%"
"Apr 26, 2018","4,995.7","5,063.3","5,068.6","4,958.1","-","-1.96%"
"Apr 25, 2018","5,095.4","5,083.4","5,120.7","5,037.2","-","0.24%"
"Apr 24, 2018","5,083.4","5,207.4","5,226.5","5,039.0","-","-1.95%"
"Apr 23, 2018","5,184.3","5,181.4","5,209.4","5,158.2","-","0.25%"
"Apr 20, 2018","5,171.2","5,219.4","5,232.0","5,155.2","-","-1.05%"
"Apr 19, 2018","5,226.2","5,250.9","5,265.8","5,198.6","-","-0.82%"
"Apr 18, 2018","5,269.2","5,202.4","5,277.0","5,193.9","-","3.37%"
"Apr 17, 2018","5,097.2","5,139.6","5,141.4","5,069.8","-","-0.45%"
"Apr 16, 2018","5,120.2","5,069.1","5,144.9","5,062.8","-","2.03%"
"Apr 13, 2018","5,018.1","5,085.2","5,093.7","5,006.7","-","-0.89%"
"Apr 12, 2018","5,063.4","5,005.8","5,085.1","5,001.4","-","1.77%"
"Apr 11, 2018","4,975.4","4,982.1","5,015.4","4,972.2","-","-0.87%"
"Apr 10, 2018","5,019.1","5,061.4","5,062.9","4,996.5","-","0.60%"
"Apr 09, 2018","4,989.4","5,038.7","5,061.4","4,985.8","-","-0.33%"
"Apr 06, 2018","5,005.7","5,099.4","5,121.0","4,951.9","-","-2.71%"
"Apr 05, 2018","5,145.2","5,172.4","5,181.7","5,108.4","-","0.02%"
"Apr 04, 2018","5,144.3","5,059.3","5,152.8","5,040.6","-","0.17%"
"Apr 03, 2018","5,135.5","5,069.1","5,149.8","5,055.2","-","2.15%"
"Apr 02, 2018","5,027.3","5,130.1","5,158.9","4,978.6","-","-2.33%"
"Mar 29, 2018","5,147.3","5,056.7","5,189.5","5,052.5","-","2.23%"
"Mar 28, 2018","5,035.1","5,050.7","5,081.7","4,993.1","-","-0.30%"
"Mar 27, 2018","5,050.2","5,172.9","5,190.4","5,031.8","-","-2.05%"
"Mar 26, 2018","5,156.1","5,163.5","5,164.6","5,064.2","-","1.67%"
"Mar 23, 2018","5,071.2","5,183.4","5,206.9","5,064.6","-","-1.89%"
"Mar 22, 2018","5,169.0","5,252.1","5,278.3","5,167.4","-","-2.45%"
"Mar 21, 2018","5,298.6","5,300.7","5,349.8","5,285.9","-","-0.42%"
"Mar 20, 2018","5,321.2","5,316.1","5,342.9","5,310.3","-","0.50%"
"Mar 19, 2018","5,294.9","5,306.5","5,323.2","5,246.3","-","-0.33%"
"Mar 16, 2018","5,312.4","5,280.4","5,342.0","5,280.4","-","0.68%"
"Mar 15, 2018","5,276.4","5,284.8","5,299.7","5,253.1","-","-0.00%"
"Mar 14, 2018","5,276.5","5,359.9","5,363.3","5,267.0","-","-1.21%"
"Mar 13, 2018","5,340.9","5,358.6","5,385.7","5,333.7","-","0.24%"
"Mar 12, 2018","5,328.2","5,351.9","5,353.1","5,316.1","-","-0.23%"
"Mar 09, 2018","5,340.7","5,249.4","5,340.9","5,237.4","-","2.52%"
"Mar 08, 2018","5,209.4","5,199.2","5,228.9","5,166.8","-","0.41%"
"Mar 07, 2018","5,188.3","5,129.9","5,199.2","5,128.8","-","0.48%"
"Mar 06, 2018","5,163.6","5,163.6","5,182.3","5,125.7","-","0.32%"
"Mar 05, 2018","5,147.3","5,094.5","5,153.6","5,048.0","-","0.45%"
"Mar 02, 2018","5,124.1","5,056.9","5,140.6","5,020.9","-","0.44%"
"Mar 01, 2018","5,101.6","5,125.4","5,209.0","5,060.4","-","-0.59%"
"Feb 28, 2018","5,131.9","5,214.6","5,214.8","5,131.9","-","-1.25%"
"Feb 27, 2018","5,196.9","5,288.3","5,327.5","5,196.9","-","-1.63%"
"Feb 26, 2018","5,282.9","5,238.5","5,292.7","5,228.8","-","1.47%"
"Feb 23, 2018","5,206.5","5,176.5","5,206.8","5,145.3","-","1.11%"
"Feb 22, 2018","5,149.4","5,158.6","5,198.1","5,136.3","-","0.40%"
"Feb 21, 2018","5,128.7","5,090.3","5,214.5","5,088.7","-","1.00%"
"Feb 20, 2018","5,077.7","5,140.9","5,152.2","5,060.9","-","-1.82%"
"Feb 16, 2018","5,171.7","5,158.9","5,210.9","5,151.4","-","0.35%"
"Feb 15, 2018","5,153.7","5,152.5","5,156.9","5,074.6","-","0.72%"
"Feb 14, 2018","5,117.0","5,007.3","5,123.9","5,006.5","-","1.41%"
"Feb 13, 2018","5,045.8","4,936.3","5,048.7","4,929.1","-","1.53%"
"Feb 12, 2018","4,969.9","4,888.6","4,999.2","4,857.1","-","2.55%"
"Feb 09, 2018","4,846.2","4,887.7","4,887.7","4,694.7","-","0.18%"
"Feb 08, 2018","4,837.6","5,028.5","5,031.0","4,837.4","-","-4.13%"
"Feb 07, 2018","5,046.0","5,003.1","5,095.3","5,003.1","-","0.28%"
"Feb 06, 2018","5,031.7","4,844.2","5,050.3","4,814.6","-","1.98%"
"Feb 05, 2018","4,933.9","5,109.2","5,139.3","4,933.1","-","-4.44%"
"Feb 02, 2018","5,163.0","5,243.7","5,250.6","5,159.4","-","-2.20%"
"Feb 01, 2018","5,278.9","5,248.2","5,305.7","5,240.6","-","0.13%"
"Jan 31, 2018","5,272.1","5,282.3","5,343.0","5,254.0","-","0.18%"
"Jan 30, 2018","5,262.8","5,287.0","5,306.4","5,258.1","-","-0.95%"
"Jan 29, 2018","5,313.2","5,332.8","5,365.1","5,309.7","-","-0.94%"
"Jan 26, 2018","5,363.8","5,337.9","5,366.4","5,299.4","-","1.32%"
"Jan 25, 2018","5,294.0","5,345.4","5,355.4","5,281.7","-","-1.38%"
"Jan 24, 2018","5,367.9","5,380.4","5,397.6","5,314.7","-","-1.33%"
"Jan 23, 2018","5,440.1","5,437.8","5,455.1","5,396.3","-","-0.10%"
"Jan 22, 2018","5,445.5","5,420.4","5,445.7","5,388.8","-","0.43%"
"Jan 19, 2018","5,422.2","5,414.4","5,422.8","5,399.8","-","0.35%"
"Jan 18, 2018","5,403.1","5,382.8","5,412.9","5,375.2","-","0.53%"
"Jan 17, 2018","5,374.5","5,369.2","5,391.5","5,334.3","-","0.04%"
"Jan 16, 2018","5,372.3","5,459.3","5,464.5","5,349.6","-","-1.02%"
"Jan 12, 2018","5,427.9","5,370.4","5,430.2","5,364.0","-","1.29%"
"Jan 11, 2018","5,358.8","5,268.2","5,367.8","5,262.7","-","2.07%"
"Jan 10, 2018","5,249.9","5,250.2","5,278.1","5,234.6","-","-0.03%"
"Jan 09, 2018","5,251.5","5,238.6","5,267.7","5,232.7","-","0.59%"
