"Date","IXBK","NBI","IXK","IXF","IXID","IXIS","IXUT","IXTR","FVX","TYX"
2018-05-23,4308.9,3372.1,4479.48,4787.4,5872,8358.8,355.2,5309.2,2.825,3.152
2018-05-22,4329.1,3355.3,4437.58,4804.2,5836.5,8371.8,355.7,5302.8,2.898,3.207
2018-05-21,4310.3,3341.6,4445.5,4796.2,5859.9,8358.6,356.1,5376.4,2.895,3.201
2018-05-18,4280.7,3386.4,4411.88,4760.1,5828.7,8278,352.8,5297,2.888,3.202
2018-05-17,4311.5,3381.2,4443.03,4782.6,5840.5,8296.6,354.1,5275.6,2.939,3.25
2018-05-16,4284.5,3380.3,4461.24,4772.2,5845,8267.3,361.5,5261.5,2.944,3.223
2018-05-15,4261.4,3349.4,4435.78,4754.6,5799.9,8241.5,362.5,5205.1,2.917,3.198
2018-05-14,4232.9,3387.5,4484.24,4756.4,5837.1,8237.9,364.5,5222.9,2.862,3.132
2018-05-11,4259.3,3351.3,4475.35,4774.6,5838.2,8298.9,365.7,5239.8,2.838,3.102
2018-05-10,4262.5,3264,4495.38,4768.4,5846.5,8300.8,368,5184.4,2.83,3.109
2018-05-09,4252.8,3264.4,4434.38,4740.3,5818.6,8229.8,365.5,5143.2,2.841,3.163
2018-05-08,4216.3,3218.8,4373.94,4696.5,5785.9,8228.5,363.8,5107.9,2.811,3.128
2018-05-07,4181.7,3238,4357.1,4678.7,5809,8182.6,364.6,5028.5,2.789,3.123
2018-05-04,4167.3,3218.9,4316.85,4656.6,5765.7,8138.3,362.1,5007.8,2.787,3.123
2018-05-03,4118.9,3182.2,4226.3,4599.4,5681,8035.6,356.5,4960.1,2.782,3.123
2018-05-02,4162.3,3227.9,4220.33,4646.8,5690.7,8089.4,355.3,4971.7,2.804,3.151
2018-05-01,4169.1,3270.9,4211.24,4668.8,5741.8,8242.5,360.5,5024.4,2.814,3.13
2018-04-30,4141.7,3254.8,4147.08,4653.4,5713.3,8235.1,360.6,5011.5,2.801,3.124
2018-04-27,4204.2,3321.2,4174.74,4690,5737.9,8342.3,366.1,5058.9,2.804,3.127
2018-04-26,4167.1,3311.6,4187.31,4677.7,5728.6,8345.5,364.5,4995.7,2.814,3.163
2018-04-25,4177.1,3244,4090.92,4678.8,5648.9,8362.2,361.8,5095.4,2.842,3.212
2018-04-24,4186.8,3245.5,4096.54,4682.8,5648.6,8377,361.6,5083.4,2.828,3.183
2018-04-23,4148.7,3294.2,4184.34,4688.6,5754.1,8419.5,363.9,5184.3,2.822,3.144
2018-04-20,4111.9,3300.3,4204.5,4669.6,5766.5,8389.3,364.6,5171.2,2.802,3.147
2018-04-19,4096.5,3328.3,4276.94,4663.6,5845.2,8400.1,366.8,5226.2,2.757,3.102
2018-04-18,4038.9,3375.3,4337.19,4633.9,5855.9,8374.6,367.2,5269.2,2.733,3.061
2018-04-17,4055.5,3373.6,4347.48,4643.8,5820.9,8365.5,366.8,5097.2,2.69,3.017
2018-04-16,4089,3309.5,4259.21,4645,5717.9,8378.6,359,5120.2,2.681,3.025
2018-04-13,4062.4,3330.1,4228.53,4603.6,5667.2,8273.6,357.6,5018.1,2.671,3.027
2018-04-12,4117.6,3355.3,4244.28,4646.1,5690.9,8279.5,360.1,5063.4,2.679,3.046
2018-04-11,4050.5,3313.2,4193.5,4593.8,5656.5,8226.9,355.1,4975.4,2.613,2.994
2018-04-10,4070.3,3326.2,4209.64,4614.4,5674.1,8234,355.1,5019.1,2.625,3.02
