"Date","Price","Open","High","Low","Vol.","Change %"
"May 23, 2018","4,787.4","4,783.2","4,791.5","4,759.9","-","-0.35%"
"May 22, 2018","4,804.2","4,804.0","4,829.5","4,801.4","-","0.17%"
"May 21, 2018","4,796.2","4,770.5","4,801.0","4,769.1","-","0.76%"
"May 18, 2018","4,760.1","4,777.8","4,782.2","4,760.0","-","-0.47%"
"May 17, 2018","4,782.6","4,766.0","4,791.4","4,752.1","-","0.22%"
"May 16, 2018","4,772.2","4,756.0","4,788.5","4,750.1","-","0.37%"
"May 15, 2018","4,754.6","4,743.8","4,775.2","4,736.3","-","-0.04%"
"May 14, 2018","4,756.4","4,781.2","4,788.7","4,746.5","-","-0.38%"
"May 11, 2018","4,774.6","4,768.2","4,791.8","4,764.4","-","0.13%"
"May 10, 2018","4,768.4","4,744.2","4,776.4","4,734.0","-","0.59%"
"May 09, 2018","4,740.3","4,706.0","4,754.9","4,692.5","-","0.93%"
"May 08, 2018","4,696.5","4,672.1","4,718.4","4,669.3","-","0.38%"
"May 07, 2018","4,678.7","4,663.5","4,699.1","4,652.9","-","0.47%"
"May 04, 2018","4,656.6","4,580.9","4,685.4","4,571.0","-","1.24%"
"May 03, 2018","4,599.4","4,615.0","4,624.5","4,554.1","-","-1.02%"
"May 02, 2018","4,646.8","4,661.9","4,686.9","4,636.8","-","-0.47%"
"May 01, 2018","4,668.8","4,649.5","4,671.6","4,619.4","-","0.33%"
"Apr 30, 2018","4,653.4","4,703.2","4,721.1","4,653.2","-","-0.78%"
"Apr 27, 2018","4,690.0","4,681.1","4,697.3","4,664.8","-","0.26%"
"Apr 26, 2018","4,677.7","4,675.6","4,698.5","4,650.9","-","-0.02%"
"Apr 25, 2018","4,678.8","4,680.0","4,702.9","4,656.0","-","-0.09%"
"Apr 24, 2018","4,682.8","4,704.7","4,739.2","4,652.3","-","-0.12%"
"Apr 23, 2018","4,688.6","4,682.9","4,700.6","4,669.3","-","0.41%"
"Apr 20, 2018","4,669.6","4,666.9","4,689.4","4,652.2","-","0.13%"
"Apr 19, 2018","4,663.6","4,631.6","4,668.5","4,631.6","-","0.64%"
"Apr 18, 2018","4,633.9","4,652.4","4,667.9","4,633.1","-","-0.21%"
"Apr 17, 2018","4,643.8","4,675.0","4,680.9","4,628.4","-","-0.03%"
"Apr 16, 2018","4,645.0","4,630.1","4,659.8","4,621.3","-","0.90%"
