"Date","Price","Open","High","Low","Vol.","Change %"
"May 23, 2018","4,479.48","4,406.38","4,480.13","4,405.67","-","0.94%"
"May 22, 2018","4,437.58","4,468.32","4,476.48","4,429.68","-","-0.18%"
"May 21, 2018","4,445.50","4,454.11","4,476.86","4,422.63","-","0.76%"
"May 18, 2018","4,411.88","4,419.57","4,438.32","4,407.42","-","-0.70%"
"May 17, 2018","4,443.03","4,449.58","4,481.26","4,420.15","-","-0.41%"
"May 16, 2018","4,461.24","4,436.81","4,468.83","4,429.11","-","0.57%"
"May 15, 2018","4,435.78","4,450.59","4,452.42","4,409.72","-","-1.08%"
"May 14, 2018","4,484.24","4,500.76","4,519.28","4,478.82","-","0.20%"
"May 11, 2018","4,475.35","4,477.33","4,492.93","4,458.39","-","-0.45%"
"May 10, 2018","4,495.38","4,451.08","4,497.13","4,450.74","-","1.38%"
"May 09, 2018","4,434.38","4,383.97","4,434.38","4,372.66","-","1.38%"
"May 08, 2018","4,373.94","4,355.74","4,375.69","4,331.13","-","0.39%"
"May 07, 2018","4,357.10","4,338.08","4,379.03","4,333.06","-","0.93%"
"May 04, 2018","4,316.85","4,212.99","4,321.72","4,206.72","-","2.14%"
"May 03, 2018","4,226.30","4,192.85","4,244.29","4,156.91","-","0.14%"
"May 02, 2018","4,220.33","4,235.01","4,263.63","4,213.73","-","0.22%"
"May 01, 2018","4,211.24","4,142.96","4,212.96","4,130.02","-","1.55%"
"Apr 30, 2018","4,147.08","4,180.96","4,216.81","4,134.87","-","-0.66%"
"Apr 27, 2018","4,174.74","4,243.73","4,245.49","4,148.87","-","-0.30%"
"Apr 26, 2018","4,187.31","4,165.70","4,202.58","4,147.98","-","2.36%"
"Apr 25, 2018","4,090.92","4,103.85","4,110.83","4,039.72","-","-0.14%"
"Apr 24, 2018","4,096.54","4,202.58","4,211.70","4,065.64","-","-2.10%"
"Apr 23, 2018","4,184.34","4,225.04","4,236.95","4,163.83","-","-0.48%"
"Apr 20, 2018","4,204.50","4,257.76","4,259.18","4,189.88","-","-1.69%"
"Apr 19, 2018","4,276.94","4,295.71","4,305.52","4,256.79","-","-1.39%"
"Apr 18, 2018","4,337.19","4,339.33","4,353.94","4,308.71","-","-0.24%"
"Apr 17, 2018","4,347.48","4,294.19","4,361.18","4,291.90","-","2.07%"
"Apr 16, 2018","4,259.21","4,257.45","4,273.52","4,225.92","-","0.73%"
"Apr 13, 2018","4,228.53","4,275.30","4,277.98","4,208.96","-","-0.37%"
"Apr 12, 2018","4,244.28","4,221.50","4,261.70","4,212.50","-","1.21%"
"Apr 11, 2018","4,193.50","4,180.72","4,230.92","4,179.13","-","-0.38%"
"Apr 10, 2018","4,209.64","4,180.82","4,227.33","4,149.11","-","2.56%"
"Apr 09, 2018","4,104.63","4,109.39","4,193.96","4,101.12","-","0.74%"
"Apr 06, 2018","4,074.47","4,120.52","4,171.36","4,057.91","-","-2.35%"
"Apr 05, 2018","4,172.38","4,199.71","4,211.78","4,142.53","-","0.21%"
"Apr 04, 2018","4,163.82","4,009.39","4,175.00","4,009.39","-","1.50%"
"Apr 03, 2018","4,102.37","4,092.53","4,111.74","4,027.94","-","1.14%"
"Apr 02, 2018","4,056.16","4,134.75","4,164.69","4,012.04","-","-2.55%"
"Mar 29, 2018","4,162.41","4,111.07","4,211.01","4,074.81","-","2.19%"
"Mar 28, 2018","4,073.15","4,094.57","4,145.93","4,051.67","-","-0.99%"
"Mar 27, 2018","4,113.99","4,296.56","4,306.33","4,081.05","-","-3.76%"
"Mar 26, 2018","4,274.53","4,197.25","4,278.42","4,128.17","-","4.14%"
"Mar 23, 2018","4,104.73","4,217.45","4,236.31","4,104.46","-","-2.82%"
"Mar 22, 2018","4,223.74","4,273.69","4,312.13","4,221.99","-","-2.61%"
"Mar 21, 2018","4,337.09","4,341.33","4,393.87","4,323.72","-","-0.54%"
"Mar 20, 2018","4,360.73","4,347.97","4,377.27","4,330.67","-","0.20%"
"Mar 19, 2018","4,351.88","4,404.83","4,405.12","4,310.93","-","-2.39%"
"Mar 16, 2018","4,458.23","4,477.48","4,481.46","4,444.62","-","-0.07%"
"Mar 15, 2018","4,461.19","4,464.27","4,487.10","4,437.75","-","0.06%"
"Mar 14, 2018","4,458.58","4,476.70","4,484.20","4,433.89","-","0.02%"
"Mar 13, 2018","4,457.71","4,548.99","4,564.54","4,441.52","-","-1.48%"
"Mar 12, 2018","4,524.85","4,515.58","4,545.61","4,506.76","-","0.49%"
"Mar 09, 2018","4,502.98","4,444.71","4,502.98","4,441.62","-","2.03%"
"Mar 08, 2018","4,413.33","4,406.67","4,418.24","4,387.47","-","0.48%"
"Mar 07, 2018","4,392.11","4,333.54","4,395.44","4,333.54","-","0.61%"
"Mar 06, 2018","4,365.44","4,370.71","4,383.56","4,343.00","-","0.53%"
"Mar 05, 2018","4,342.36","4,281.65","4,360.55","4,270.24","-","0.91%"
"Mar 02, 2018","4,303.32","4,199.42","4,309.44","4,189.06","-","1.11%"
"Mar 01, 2018","4,255.89","4,337.76","4,353.76","4,217.94","-","-1.69%"
"Feb 28, 2018","4,329.09","4,387.05","4,401.04","4,329.09","-","-0.75%"
"Feb 27, 2018","4,361.77","4,407.70","4,428.73","4,361.77","-","-1.01%"
"Feb 26, 2018","4,406.39","4,365.02","4,406.59","4,360.73","-","1.49%"
"Feb 23, 2018","4,341.49","4,289.35","4,342.20","4,279.80","-","2.08%"
"Feb 22, 2018","4,253.13","4,268.45","4,292.95","4,242.59","-","0.09%"
"Feb 21, 2018","4,249.46","4,280.51","4,327.12","4,249.46","-","-0.37%"
"Feb 20, 2018","4,265.07","4,221.55","4,299.32","4,219.69","-","0.57%"
"Feb 16, 2018","4,241.07","4,243.34","4,291.66","4,236.56","-","-0.37%"
"Feb 15, 2018","4,256.84","4,208.68","4,257.54","4,165.67","-","1.93%"
"Feb 14, 2018","4,176.28","4,072.59","4,181.34","4,071.81","-","2.06%"
"Feb 13, 2018","4,092.10","4,053.55","4,101.14","4,048.97","-","0.33%"
"Feb 12, 2018","4,078.62","4,041.98","4,104.67","4,013.43","-","1.78%"
"Feb 09, 2018","4,007.10","3,976.82","4,029.94","3,842.06","-","2.51%"
"Feb 08, 2018","3,909.09","4,089.27","4,096.82","3,908.06","-","-4.10%"
"Feb 07, 2018","4,076.35","4,126.35","4,162.37","4,076.23","-","-1.78%"
"Feb 06, 2018","4,150.24","3,960.03","4,154.24","3,957.35","-","2.91%"
"Feb 05, 2018","4,032.80","4,144.43","4,237.68","4,032.43","-","-3.97%"
"Feb 02, 2018","4,199.66","4,272.18","4,278.33","4,198.15","-","-3.13%"
"Feb 01, 2018","4,335.18","4,326.69","4,369.77","4,313.32","-","-0.10%"
"Jan 31, 2018","4,339.63","4,342.94","4,350.15","4,310.14","-","0.71%"
"Jan 30, 2018","4,309.11","4,299.63","4,337.98","4,293.53","-","-1.02%"
"Jan 29, 2018","4,353.50","4,376.35","4,379.20","4,342.82","-","-0.92%"
"Jan 26, 2018","4,393.82","4,354.17","4,393.82","4,342.61","-","1.69%"
"Jan 25, 2018","4,320.65","4,368.06","4,373.17","4,309.98","-","-0.40%"
"Jan 24, 2018","4,337.96","4,386.84","4,396.56","4,319.58","-","-1.17%"
"Jan 23, 2018","4,389.19","4,370.49","4,393.59","4,368.08","-","0.74%"
"Jan 22, 2018","4,356.96","4,313.78","4,356.96","4,306.43","-","0.86%"
"Jan 19, 2018","4,319.80","4,315.46","4,327.76","4,298.50","-","0.26%"
"Jan 18, 2018","4,308.48","4,300.25","4,319.89","4,287.94","-","0.14%"
"Jan 17, 2018","4,302.60","4,257.02","4,304.46","4,242.26","-","1.54%"
"Jan 16, 2018","4,237.27","4,292.13","4,306.12","4,226.02","-","-0.49%"
"Jan 12, 2018","4,258.17","4,219.97","4,261.45","4,217.84","-","0.54%"
"Jan 11, 2018","4,235.50","4,223.39","4,235.50","4,215.28","-","0.50%"
"Jan 10, 2018","4,214.47","4,201.11","4,216.31","4,192.00","-","-0.44%"
"Jan 09, 2018","4,233.06","4,253.38","4,254.34","4,223.37","-","-0.32%"
"Jan 08, 2018","4,246.85","4,229.83","4,254.40","4,227.47","-","0.35%"
"Jan 05, 2018","4,231.99","4,206.09","4,233.29","4,202.80","-","0.99%"
"Jan 04, 2018","4,190.52","4,184.34","4,201.39","4,176.94","-","0.43%"
"Jan 03, 2018","4,172.38","4,136.86","4,174.49","4,135.23","-","0.95%"
"Jan 02, 2018","4,133.15","4,079.95","4,134.16","4,070.77","-","1.80%"
"Dec 29, 2017","4,060.12","4,086.43","4,087.94","4,060.12","-","-0.65%"
"Dec 28, 2017","4,086.54","4,093.73","4,097.79","4,080.39","-","0.05%"
"Dec 27, 2017","4,084.38","4,078.09","4,090.92","4,074.10","-","0.15%"
"Dec 26, 2017","4,078.15","4,074.99","4,081.48","4,055.33","-","-0.88%"
"Dec 22, 2017","4,114.17","4,113.31","4,116.76","4,102.34","-","-0.12%"
"Dec 21, 2017","4,119.23","4,136.37","4,143.99","4,115.93","-","-0.25%"
"Dec 20, 2017","4,129.35","4,152.03","4,152.03","4,105.20","-","-0.12%"
"Dec 19, 2017","4,134.16","4,143.55","4,149.54","4,115.16","-","-0.55%"
"Dec 18, 2017","4,156.83","4,139.46","4,160.53","4,129.91","-","1.09%"
"Dec 15, 2017","4,111.87","4,067.99","4,116.59","4,062.12","-","1.48%"
"Dec 14, 2017","4,051.85","4,064.47","4,077.02","4,048.81","-","-0.08%"
"Dec 13, 2017","4,055.18","4,061.39","4,073.03","4,051.79","-","0.23%"
"Dec 12, 2017","4,045.88","4,055.80","4,067.61","4,041.26","-","-0.49%"
"Dec 11, 2017","4,065.75","4,033.22","4,067.74","4,030.37","-","0.86%"
"Dec 08, 2017","4,031.01","4,053.94","4,066.08","4,025.68","-","0.27%"
"Dec 07, 2017","4,020.00","4,004.00","4,028.52","3,995.08","-","0.69%"
"Dec 06, 2017","3,992.44","3,940.63","4,001.35","3,932.11","-","0.69%"
