"Date","Price","Open","High","Low","Vol.","Change %"
"May 23, 2018","3,372.1","3,337.3","3,382.0","3,337.1","-","0.50%"
"May 22, 2018","3,355.3","3,349.3","3,374.9","3,339.8","-","0.41%"
"May 21, 2018","3,341.6","3,401.4","3,405.2","3,330.3","-","-1.32%"
"May 18, 2018","3,386.4","3,383.9","3,398.1","3,371.7","-","0.15%"
"May 17, 2018","3,381.2","3,375.6","3,384.1","3,356.9","-","0.03%"
"May 16, 2018","3,380.3","3,353.5","3,391.4","3,349.1","-","0.92%"
"May 15, 2018","3,349.4","3,366.2","3,366.2","3,341.6","-","-1.12%"
"May 14, 2018","3,387.5","3,360.4","3,408.8","3,360.4","-","1.08%"
"May 11, 2018","3,351.3","3,265.5","3,360.2","3,265.1","-","2.67%"
"May 10, 2018","3,264.0","3,267.8","3,293.5","3,252.6","-","-0.01%"
"May 09, 2018","3,264.4","3,223.1","3,275.7","3,209.0","-","1.42%"
"May 08, 2018","3,218.8","3,232.6","3,237.0","3,200.1","-","-0.59%"
"May 07, 2018","3,238.0","3,235.8","3,247.0","3,224.5","-","0.59%"
"May 04, 2018","3,218.9","3,181.9","3,235.2","3,181.9","-","1.15%"
"May 03, 2018","3,182.2","3,218.3","3,239.4","3,158.9","-","-1.42%"
"May 02, 2018","3,227.9","3,241.2","3,265.8","3,225.8","-","-1.31%"
"May 01, 2018","3,270.9","3,251.9","3,272.9","3,226.2","-","0.49%"
"Apr 30, 2018","3,254.8","3,328.6","3,330.5","3,254.8","-","-2.00%"
"Apr 27, 2018","3,321.2","3,313.8","3,324.9","3,289.3","-","0.29%"
"Apr 26, 2018","3,311.6","3,265.8","3,329.0","3,256.9","-","2.08%"
"Apr 25, 2018","3,244.0","3,255.3","3,266.1","3,218.1","-","-0.05%"
"Apr 24, 2018","3,245.5","3,300.8","3,302.8","3,230.1","-","-1.48%"
"Apr 23, 2018","3,294.2","3,305.5","3,319.7","3,276.0","-","-0.18%"
"Apr 20, 2018","3,300.3","3,327.7","3,331.4","3,291.7","-","-0.84%"
"Apr 19, 2018","3,328.3","3,362.7","3,384.1","3,320.5","-","-1.39%"
"Apr 18, 2018","3,375.3","3,381.2","3,396.0","3,367.6","-","0.05%"
"Apr 17, 2018","3,373.6","3,334.6","3,384.4","3,327.9","-","1.94%"
"Apr 16, 2018","3,309.5","3,359.8","3,359.9","3,305.9","-","-0.62%"
"Apr 13, 2018","3,330.1","3,371.7","3,372.0","3,315.0","-","-0.75%"
"Apr 12, 2018","3,355.3","3,334.5","3,373.8","3,333.0","-","1.27%"
"Apr 11, 2018","3,313.2","3,300.4","3,355.9","3,299.9","-","-0.39%"
"Apr 10, 2018","3,326.2","3,277.0","3,333.2","3,257.9","-","2.88%"
"Apr 09, 2018","3,233.1","3,221.7","3,284.9","3,210.9","-","1.78%"
"Apr 06, 2018","3,176.5","3,226.0","3,252.4","3,152.7","-","-3.01%"
"Apr 05, 2018","3,275.2","3,346.8","3,347.1","3,266.3","-","-1.58%"
"Apr 04, 2018","3,327.9","3,190.2","3,337.2","3,190.2","-","2.86%"
"Apr 03, 2018","3,235.5","3,240.7","3,245.7","3,176.6","-","0.44%"
"Apr 02, 2018","3,221.4","3,324.6","3,328.7","3,189.6","-","-3.96%"
"Mar 29, 2018","3,354.4","3,350.2","3,390.1","3,321.6","-","0.68%"
"Mar 28, 2018","3,331.9","3,323.5","3,354.6","3,290.1","-","0.82%"
"Mar 27, 2018","3,304.7","3,414.1","3,414.1","3,290.9","-","-2.78%"
"Mar 26, 2018","3,399.1","3,367.6","3,401.9","3,306.5","-","2.70%"
"Mar 23, 2018","3,309.8","3,396.6","3,404.8","3,309.6","-","-2.53%"
"Mar 22, 2018","3,395.6","3,441.8","3,475.7","3,394.3","-","-2.37%"
"Mar 21, 2018","3,478.0","3,474.2","3,502.0","3,466.7","-","0.09%"
"Mar 20, 2018","3,475.0","3,482.6","3,487.3","3,455.2","-","0.05%"
"Mar 19, 2018","3,473.3","3,528.4","3,536.7","3,439.1","-","-1.99%"
"Mar 16, 2018","3,544.0","3,552.2","3,567.3","3,540.5","-","0.11%"
"Mar 15, 2018","3,540.2","3,597.6","3,597.6","3,530.4","-","-1.02%"
"Mar 14, 2018","3,576.6","3,600.0","3,604.8","3,562.7","-","-0.11%"
"Mar 13, 2018","3,580.7","3,619.5","3,634.2","3,572.6","-","-0.70%"
"Mar 12, 2018","3,606.0","3,602.4","3,615.7","3,578.8","-","0.26%"
"Mar 09, 2018","3,596.5","3,564.0","3,597.9","3,546.6","-","1.59%"
"Mar 08, 2018","3,540.3","3,528.9","3,542.7","3,504.7","-","0.62%"
"Mar 07, 2018","3,518.4","3,465.8","3,518.6","3,464.9","-","0.71%"
"Mar 06, 2018","3,493.7","3,494.3","3,503.9","3,461.2","-","0.19%"
"Mar 05, 2018","3,487.2","3,432.8","3,493.8","3,431.1","-","1.08%"
"Mar 02, 2018","3,450.0","3,336.5","3,455.2","3,336.1","-","2.48%"
"Mar 01, 2018","3,366.4","3,396.0","3,417.9","3,340.0","-","-0.93%"
